"Area","Subcategory","Product ID","Name","Type","Price","Rating","Description","Affiliate URL","Image URL (optional)"
"Mind","Learning & Skill Development","lp1","Ultralearning: Master Hard Skills, Outsmart the Competition, and Accelerate Your Career","book","$18.99","4.7","Scott Young's proven methodology for self-directed, intense learning projects that help you master skills in record time — from programming to languages.","#",""
"Mind","Learning & Skill Development","lp2","Learning How to Learn (Coursera)","course","Free","4.9","The world's most popular online course, taught by Dr. Barbara Oakley. Science-backed techniques to improve how you learn anything, forever.","#",""
"Mind","Learning & Skill Development","← NEW","","book/course/supplement/physical","","","","",""
"Mind","Learning & Skill Development","← NEW","","","","","","",""
"Mind","Learning & Skill Development","← NEW","","","","","","",""
"Mind","Memory & Retention","mp1","Moonwalking with Einstein: The Art and Science of Remembering Everything","book","$16.99","4.5","Joshua Foer's journey from science reporter to US Memory Champion — packed with actionable memory techniques anyone can use.","#",""
"Mind","Memory & Retention","← NEW","","book/course/supplement/physical","","","","",""
"Mind","Memory & Retention","← NEW","","","","","","",""
"Mind","Memory & Retention","← NEW","","","","","","",""
"Mind","Speed Reading","srp1","The Speed Reading Book","book","$15.99","4.3","Tony Buzan's comprehensive guide to doubling or tripling reading speed while maintaining or improving comprehension — the classic in the field.","#",""
"Mind","Speed Reading","← NEW","","book/course/supplement/physical","","","","",""
"Mind","Speed Reading","← NEW","","","","","","",""
"Mind","Speed Reading","← NEW","","","","","","",""
"Mind","Focus & Deep Work","fp1","Deep Work: Rules for Focused Success in a Distracted World","book","$17.99","4.8","Cal Newport's masterpiece on the power of concentrated focus and how to cultivate it deliberately in our age of endless distraction.","#",""
"Mind","Focus & Deep Work","fp2","Focus Factor Brain Health Supplement","supplement","$29.99","4.1","America's #1 selling brain health supplement — supports memory, concentration, and focus with a clinically studied formula containing 40 key nutrients.","#",""
"Mind","Focus & Deep Work","← NEW","","book/course/supplement/physical","","","","",""
"Mind","Focus & Deep Work","← NEW","","","","","","",""
"Mind","Focus & Deep Work","← NEW","","","","","","",""
"Mind","Creativity","ctp1","Thinking, Fast and Slow","book","$17.00","4.6","Daniel Kahneman's Nobel Prize-winning insights into the two systems that drive the way we think — an essential guide to understanding your own mind.","#",""
"Mind","Creativity","ctp2","The Great Mental Models Vol. 1","book","$22.99","4.7","Shane Parrish's collection of the most powerful mental models from across disciplines — a toolkit for better thinking in any situation.","#",""
"Mind","Creativity","← NEW","","book/course/supplement/physical","","","","",""
"Mind","Creativity","← NEW","","","","","","",""
"Mind","Creativity","← NEW","","","","","","",""
"Body","Sleep Optimization","slp1","Why We Sleep: Unlocking the Power of Sleep and Dreams","book","$16.99","4.7","Matthew Walker's revolutionary exploration of sleep — the most important book on the topic and a must-read for anyone who wants to understand and transform their sleep.","#",""
"Body","Sleep Optimization","← NEW","","book/course/supplement/physical","","","","",""
"Body","Sleep Optimization","← NEW","","","","","","",""
"Body","Sleep Optimization","← NEW","","","","","","",""
"Body","Nutrition & Diet","ntp1","Eat to Beat Disease","book","$21.99","4.6","Dr. William Li's groundbreaking research on how the right foods can activate your body's natural defenses to fight illness, lose weight, and maintain optimal health.","#",""
"Body","Nutrition & Diet","← NEW","","book/course/supplement/physical","","","","",""
"Body","Nutrition & Diet","← NEW","","","","","","",""
"Body","Nutrition & Diet","← NEW","","","","","","",""
"Body","Exercise & Fitness","exp1","Strength Training Anatomy (3rd Edition)","book","$22.99","4.8","Frédéric Delavier's visually stunning guide showing the exact muscles activated in every exercise — the ultimate training reference used by trainers worldwide.","#",""
"Body","Exercise & Fitness","← NEW","","book/course/supplement/physical","","","","",""
"Body","Exercise & Fitness","← NEW","","","","","","",""
"Body","Exercise & Fitness","← NEW","","","","","","",""
"Body","Specific Conditions","wtp1","The Obesity Code: Unlocking the Secrets of Weight Loss","book","$16.99","4.7","Dr. Jason Fung's revolutionary approach to understanding and treating obesity through insulin control and intermittent fasting. Backed by rigorous science.","#",""
"Body","Specific Conditions","← NEW","","book/course/supplement/physical","","","","",""
"Body","Specific Conditions","← NEW","","","","","","",""
"Body","Specific Conditions","← NEW","","","","","","",""
"Body","Energy & Vitality","enp2","Boundless: Upgrade Your Brain, Optimize Your Body","book","$35.00","4.5","Ben Greenfield's comprehensive biohacking guide covering every strategy to maximize physical and mental performance, from sleep to supplements to exercise.","#",""
"Body","Energy & Vitality","← NEW","","book/course/supplement/physical","","","","",""
"Body","Energy & Vitality","← NEW","","","","","","",""
"Body","Energy & Vitality","← NEW","","","","","","",""
"Spirit","Meditation & Mindfulness","medp2","Headspace Plus — Guided Meditation App","course","$12.99/month","4.7","World-class guided meditation and mindfulness with hundreds of sessions for sleep, focus, stress, anxiety, and relationships. Trusted by 70+ million people.","#",""
"Spirit","Meditation & Mindfulness","← NEW","","book/course/supplement/physical","","","","",""
"Spirit","Meditation & Mindfulness","← NEW","","","","","","",""
"Spirit","Meditation & Mindfulness","← NEW","","","","","","",""
"Spirit","Purpose & Meaning","purp2","The Purpose Driven Life","book","$14.99","4.7","Rick Warren's 40-day journey of self-examination that has helped over 30 million people discover their unique purpose and live with intentionality.","#",""
"Spirit","Purpose & Meaning","← NEW","","book/course/supplement/physical","","","","",""
"Spirit","Purpose & Meaning","← NEW","","","","","","",""
"Spirit","Purpose & Meaning","← NEW","","","","","","",""
"Spirit","Gratitude & Positivity","grp1","The Five Minute Journal","physical","$29.99","4.8","The world's most popular gratitude journal — a beautifully designed daily practice proven to increase positivity, reduce anxiety, and start and end every day with intention.","#",""
